Question,A,B,C,D,True Answer,True_Option,MC,MC_R
8 + 4 等于多少?,12,16,13,9,12,A,"请选择一个选项8 + 4 等于多少?: A 12.0 , B 16.0 , C 13.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 4 等于多少?: B 16.0 , A 12.0 , C 13.0 , D 9.0。只能选择一个选项，禁止解释。"
6 * 9 等于多少?,59,54,55,53,54,B,"请选择一个选项6 * 9 等于多少?: A 59.0 , B 54.0 , C 55.0 , D 53.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 9 等于多少?: B 54.0 , A 59.0 , C 55.0 , D 53.0。只能选择一个选项，禁止解释。"
15 / 5 等于多少?,7,5,3,1,3,C,"请选择一个选项15 / 5 等于多少?: A 7.0 , B 5.0 , C 3.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项15 / 5 等于多少?: B 5.0 , A 7.0 , C 3.0 , D 1.0。只能选择一个选项，禁止解释。"
9 * 2 等于多少?,22,20,17,18,18,D,"请选择一个选项9 * 2 等于多少?: A 22.0 , B 20.0 , C 17.0 , D 18.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 2 等于多少?: B 20.0 , A 22.0 , C 17.0 , D 18.0。只能选择一个选项，禁止解释。"
8 * 8 等于多少?,69,61,65,64,64,D,"请选择一个选项8 * 8 等于多少?: A 69.0 , B 61.0 , C 65.0 , D 64.0。只能选择一个选项，禁止解释。","请选择一个选项8 * 8 等于多少?: B 61.0 , A 69.0 , C 65.0 , D 64.0。只能选择一个选项，禁止解释。"
6 + 9 等于多少?,14,15,18,21,15,B,"请选择一个选项6 + 9 等于多少?: A 14.0 , B 15.0 , C 18.0 , D 21.0。只能选择一个选项，禁止解释。","请选择一个选项6 + 9 等于多少?: B 15.0 , A 14.0 , C 18.0 , D 21.0。只能选择一个选项，禁止解释。"
9 / 3 等于多少?,3,8,5,2,3,A,"请选择一个选项9 / 3 等于多少?: A 3.0 , B 8.0 , C 5.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项9 / 3 等于多少?: B 8.0 , A 3.0 , C 5.0 , D 2.0。只能选择一个选项，禁止解释。"
35 / 7 等于多少?,5,11,8,3,5,A,"请选择一个选项35 / 7 等于多少?: A 5.0 , B 11.0 , C 8.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项35 / 7 等于多少?: B 11.0 , A 5.0 , C 8.0 , D 3.0。只能选择一个选项，禁止解释。"
5 + 10 等于多少?,13,21,15,18,15,C,"请选择一个选项5 + 10 等于多少?: A 13.0 , B 21.0 , C 15.0 , D 18.0。只能选择一个选项，禁止解释。","请选择一个选项5 + 10 等于多少?: B 21.0 , A 13.0 , C 15.0 , D 18.0。只能选择一个选项，禁止解释。"
1 - 2 等于多少?,-4,-1,2,3,-1,B,"请选择一个选项1 - 2 等于多少?: A -4.0 , B -1.0 , C 2.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 2 等于多少?: B -1.0 , A -4.0 , C 2.0 , D 3.0。只能选择一个选项，禁止解释。"
7 + 6 等于多少?,16,18,13,10,13,C,"请选择一个选项7 + 6 等于多少?: A 16.0 , B 18.0 , C 13.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项7 + 6 等于多少?: B 18.0 , A 16.0 , C 13.0 , D 10.0。只能选择一个选项，禁止解释。"
1 - 8 等于多少?,-6,-7,-10,-2,-7,B,"请选择一个选项1 - 8 等于多少?: A -6.0 , B -7.0 , C -10.0 , D -2.0。只能选择一个选项，禁止解释。","请选择一个选项1 - 8 等于多少?: B -7.0 , A -6.0 , C -10.0 , D -2.0。只能选择一个选项，禁止解释。"
21 / 3 等于多少?,7,6,13,10,7,A,"请选择一个选项21 / 3 等于多少?: A 7.0 , B 6.0 , C 13.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项21 / 3 等于多少?: B 6.0 , A 7.0 , C 13.0 , D 10.0。只能选择一个选项，禁止解释。"
6 * 1 等于多少?,6,11,9,5,6,A,"请选择一个选项6 * 1 等于多少?: A 6.0 , B 11.0 , C 9.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 1 等于多少?: B 11.0 , A 6.0 , C 9.0 , D 5.0。只能选择一个选项，禁止解释。"
5 * 6 等于多少?,30,31,35,28,30,A,"请选择一个选项5 * 6 等于多少?: A 30.0 , B 31.0 , C 35.0 , D 28.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 6 等于多少?: B 31.0 , A 30.0 , C 35.0 , D 28.0。只能选择一个选项，禁止解释。"
90 / 9 等于多少?,12,15,10,8,10,C,"请选择一个选项90 / 9 等于多少?: A 12.0 , B 15.0 , C 10.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项90 / 9 等于多少?: B 15.0 , A 12.0 , C 10.0 , D 8.0。只能选择一个选项，禁止解释。"
3 + 3 等于多少?,8,10,6,4,6,C,"请选择一个选项3 + 3 等于多少?: A 8.0 , B 10.0 , C 6.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项3 + 3 等于多少?: B 10.0 , A 8.0 , C 6.0 , D 4.0。只能选择一个选项，禁止解释。"
8 - 3 等于多少?,5,2,11,6,5,A,"请选择一个选项8 - 3 等于多少?: A 5.0 , B 2.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 3 等于多少?: B 2.0 , A 5.0 , C 11.0 , D 6.0。只能选择一个选项，禁止解释。"
72 / 9 等于多少?,11,5,8,14,8,C,"请选择一个选项72 / 9 等于多少?: A 11.0 , B 5.0 , C 8.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项72 / 9 等于多少?: B 5.0 , A 11.0 , C 8.0 , D 14.0。只能选择一个选项，禁止解释。"
2 * 9 等于多少?,19,22,16,18,18,D,"请选择一个选项2 * 9 等于多少?: A 19.0 , B 22.0 , C 16.0 , D 18.0。只能选择一个选项，禁止解释。","请选择一个选项2 * 9 等于多少?: B 22.0 , A 19.0 , C 16.0 , D 18.0。只能选择一个选项，禁止解释。"
6 - 1 等于多少?,7,2,5,10,5,C,"请选择一个选项6 - 1 等于多少?: A 7.0 , B 2.0 , C 5.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 1 等于多少?: B 2.0 , A 7.0 , C 5.0 , D 10.0。只能选择一个选项，禁止解释。"
2 - 3 等于多少?,4,-4,-1,1,-1,C,"请选择一个选项2 - 3 等于多少?: A 4.0 , B -4.0 , C -1.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项2 - 3 等于多少?: B -4.0 , A 4.0 , C -1.0 , D 1.0。只能选择一个选项，禁止解释。"
81 / 9 等于多少?,6,13,12,9,9,D,"请选择一个选项81 / 9 等于多少?: A 6.0 , B 13.0 , C 12.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项81 / 9 等于多少?: B 13.0 , A 6.0 , C 12.0 , D 9.0。只能选择一个选项，禁止解释。"
2 / 1 等于多少?,2,4,-1,8,2,A,"请选择一个选项2 / 1 等于多少?: A 2.0 , B 4.0 , C -1.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项2 / 1 等于多少?: B 4.0 , A 2.0 , C -1.0 , D 8.0。只能选择一个选项，禁止解释。"
5 / 1 等于多少?,5,3,8,9,5,A,"请选择一个选项5 / 1 等于多少?: A 5.0 , B 3.0 , C 8.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项5 / 1 等于多少?: B 3.0 , A 5.0 , C 8.0 , D 9.0。只能选择一个选项，禁止解释。"
5 / 1 等于多少?,10,7,4,5,5,D,"请选择一个选项5 / 1 等于多少?: A 10.0 , B 7.0 , C 4.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项5 / 1 等于多少?: B 7.0 , A 10.0 , C 4.0 , D 5.0。只能选择一个选项，禁止解释。"
72 / 9 等于多少?,10,7,8,13,8,C,"请选择一个选项72 / 9 等于多少?: A 10.0 , B 7.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。","请选择一个选项72 / 9 等于多少?: B 7.0 , A 10.0 , C 8.0 , D 13.0。只能选择一个选项，禁止解释。"
4 / 1 等于多少?,5,4,8,2,4,B,"请选择一个选项4 / 1 等于多少?: A 5.0 , B 4.0 , C 8.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项4 / 1 等于多少?: B 4.0 , A 5.0 , C 8.0 , D 2.0。只能选择一个选项，禁止解释。"
5 * 6 等于多少?,34,29,32,30,30,D,"请选择一个选项5 * 6 等于多少?: A 34.0 , B 29.0 , C 32.0 , D 30.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 6 等于多少?: B 29.0 , A 34.0 , C 32.0 , D 30.0。只能选择一个选项，禁止解释。"
10 + 3 等于多少?,11,13,19,14,13,B,"请选择一个选项10 + 3 等于多少?: A 11.0 , B 13.0 , C 19.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 3 等于多少?: B 13.0 , A 11.0 , C 19.0 , D 14.0。只能选择一个选项，禁止解释。"
30 / 6 等于多少?,2,5,8,11,5,B,"请选择一个选项30 / 6 等于多少?: A 2.0 , B 5.0 , C 8.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项30 / 6 等于多少?: B 5.0 , A 2.0 , C 8.0 , D 11.0。只能选择一个选项，禁止解释。"
9 * 2 等于多少?,21,15,18,24,18,C,"请选择一个选项9 * 2 等于多少?: A 21.0 , B 15.0 , C 18.0 , D 24.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 2 等于多少?: B 15.0 , A 21.0 , C 18.0 , D 24.0。只能选择一个选项，禁止解释。"
5 * 5 等于多少?,25,27,29,22,25,A,"请选择一个选项5 * 5 等于多少?: A 25.0 , B 27.0 , C 29.0 , D 22.0。只能选择一个选项，禁止解释。","请选择一个选项5 * 5 等于多少?: B 27.0 , A 25.0 , C 29.0 , D 22.0。只能选择一个选项，禁止解释。"
8 - 4 等于多少?,4,9,7,3,4,A,"请选择一个选项8 - 4 等于多少?: A 4.0 , B 9.0 , C 7.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 4 等于多少?: B 9.0 , A 4.0 , C 7.0 , D 3.0。只能选择一个选项，禁止解释。"
10 * 5 等于多少?,54,50,53,47,50,B,"请选择一个选项10 * 5 等于多少?: A 54.0 , B 50.0 , C 53.0 , D 47.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 5 等于多少?: B 50.0 , A 54.0 , C 53.0 , D 47.0。只能选择一个选项，禁止解释。"
2 + 6 等于多少?,12,10,8,7,8,C,"请选择一个选项2 + 6 等于多少?: A 12.0 , B 10.0 , C 8.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 6 等于多少?: B 10.0 , A 12.0 , C 8.0 , D 7.0。只能选择一个选项，禁止解释。"
3 - 10 等于多少?,-7,-8,-6,-3,-7,A,"请选择一个选项3 - 10 等于多少?: A -7.0 , B -8.0 , C -6.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 10 等于多少?: B -8.0 , A -7.0 , C -6.0 , D -3.0。只能选择一个选项，禁止解释。"
4 * 4 等于多少?,16,21,15,18,16,A,"请选择一个选项4 * 4 等于多少?: A 16.0 , B 21.0 , C 15.0 , D 18.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 4 等于多少?: B 21.0 , A 16.0 , C 15.0 , D 18.0。只能选择一个选项，禁止解释。"
80 / 10 等于多少?,8,11,6,12,8,A,"请选择一个选项80 / 10 等于多少?: A 8.0 , B 11.0 , C 6.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项80 / 10 等于多少?: B 11.0 , A 8.0 , C 6.0 , D 12.0。只能选择一个选项，禁止解释。"
2 + 5 等于多少?,4,7,9,12,7,B,"请选择一个选项2 + 5 等于多少?: A 4.0 , B 7.0 , C 9.0 , D 12.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 5 等于多少?: B 7.0 , A 4.0 , C 9.0 , D 12.0。只能选择一个选项，禁止解释。"
1 / 1 等于多少?,7,1,-1,4,1,B,"请选择一个选项1 / 1 等于多少?: A 7.0 , B 1.0 , C -1.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项1 / 1 等于多少?: B 1.0 , A 7.0 , C -1.0 , D 4.0。只能选择一个选项，禁止解释。"
54 / 6 等于多少?,7,10,9,14,9,C,"请选择一个选项54 / 6 等于多少?: A 7.0 , B 10.0 , C 9.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项54 / 6 等于多少?: B 10.0 , A 7.0 , C 9.0 , D 14.0。只能选择一个选项，禁止解释。"
1 * 10 等于多少?,11,8,15,10,10,D,"请选择一个选项1 * 10 等于多少?: A 11.0 , B 8.0 , C 15.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 10 等于多少?: B 8.0 , A 11.0 , C 15.0 , D 10.0。只能选择一个选项，禁止解释。"
6 * 9 等于多少?,57,54,51,58,54,B,"请选择一个选项6 * 9 等于多少?: A 57.0 , B 54.0 , C 51.0 , D 58.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 9 等于多少?: B 54.0 , A 57.0 , C 51.0 , D 58.0。只能选择一个选项，禁止解释。"
2 + 1 等于多少?,5,8,3,1,3,C,"请选择一个选项2 + 1 等于多少?: A 5.0 , B 8.0 , C 3.0 , D 1.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 1 等于多少?: B 8.0 , A 5.0 , C 3.0 , D 1.0。只能选择一个选项，禁止解释。"
60 / 6 等于多少?,16,9,10,11,10,C,"请选择一个选项60 / 6 等于多少?: A 16.0 , B 9.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项60 / 6 等于多少?: B 9.0 , A 16.0 , C 10.0 , D 11.0。只能选择一个选项，禁止解释。"
9 * 7 等于多少?,60,63,69,64,63,B,"请选择一个选项9 * 7 等于多少?: A 60.0 , B 63.0 , C 69.0 , D 64.0。只能选择一个选项，禁止解释。","请选择一个选项9 * 7 等于多少?: B 63.0 , A 60.0 , C 69.0 , D 64.0。只能选择一个选项，禁止解释。"
7 + 10 等于多少?,16,22,17,19,17,C,"请选择一个选项7 + 10 等于多少?: A 16.0 , B 22.0 , C 17.0 , D 19.0。只能选择一个选项，禁止解释。","请选择一个选项7 + 10 等于多少?: B 22.0 , A 16.0 , C 17.0 , D 19.0。只能选择一个选项，禁止解释。"
10 - 1 等于多少?,11,9,6,15,9,B,"请选择一个选项10 - 1 等于多少?: A 11.0 , B 9.0 , C 6.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项10 - 1 等于多少?: B 9.0 , A 11.0 , C 6.0 , D 15.0。只能选择一个选项，禁止解释。"
5 - 3 等于多少?,-1,2,3,7,2,B,"请选择一个选项5 - 3 等于多少?: A -1.0 , B 2.0 , C 3.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 3 等于多少?: B 2.0 , A -1.0 , C 3.0 , D 7.0。只能选择一个选项，禁止解释。"
8 - 1 等于多少?,5,11,7,9,7,C,"请选择一个选项8 - 1 等于多少?: A 5.0 , B 11.0 , C 7.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 1 等于多少?: B 11.0 , A 5.0 , C 7.0 , D 9.0。只能选择一个选项，禁止解释。"
7 * 2 等于多少?,11,16,18,14,14,D,"请选择一个选项7 * 2 等于多少?: A 11.0 , B 16.0 , C 18.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 2 等于多少?: B 16.0 , A 11.0 , C 18.0 , D 14.0。只能选择一个选项，禁止解释。"
90 / 9 等于多少?,14,8,12,10,10,D,"请选择一个选项90 / 9 等于多少?: A 14.0 , B 8.0 , C 12.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项90 / 9 等于多少?: B 8.0 , A 14.0 , C 12.0 , D 10.0。只能选择一个选项，禁止解释。"
2 + 1 等于多少?,2,6,3,8,3,C,"请选择一个选项2 + 1 等于多少?: A 2.0 , B 6.0 , C 3.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项2 + 1 等于多少?: B 6.0 , A 2.0 , C 3.0 , D 8.0。只能选择一个选项，禁止解释。"
6 + 10 等于多少?,19,13,20,16,16,D,"请选择一个选项6 + 10 等于多少?: A 19.0 , B 13.0 , C 20.0 , D 16.0。只能选择一个选项，禁止解释。","请选择一个选项6 + 10 等于多少?: B 13.0 , A 19.0 , C 20.0 , D 16.0。只能选择一个选项，禁止解释。"
1 * 6 等于多少?,6,8,10,4,6,A,"请选择一个选项1 * 6 等于多少?: A 6.0 , B 8.0 , C 10.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 6 等于多少?: B 8.0 , A 6.0 , C 10.0 , D 4.0。只能选择一个选项，禁止解释。"
12 / 4 等于多少?,7,5,1,3,3,D,"请选择一个选项12 / 4 等于多少?: A 7.0 , B 5.0 , C 1.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项12 / 4 等于多少?: B 5.0 , A 7.0 , C 1.0 , D 3.0。只能选择一个选项，禁止解释。"
6 - 7 等于多少?,4,-1,0,-3,-1,B,"请选择一个选项6 - 7 等于多少?: A 4.0 , B -1.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项6 - 7 等于多少?: B -1.0 , A 4.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。"
4 / 2 等于多少?,7,2,-1,3,2,B,"请选择一个选项4 / 2 等于多少?: A 7.0 , B 2.0 , C -1.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项4 / 2 等于多少?: B 2.0 , A 7.0 , C -1.0 , D 3.0。只能选择一个选项，禁止解释。"
20 / 2 等于多少?,12,16,10,9,10,C,"请选择一个选项20 / 2 等于多少?: A 12.0 , B 16.0 , C 10.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项20 / 2 等于多少?: B 16.0 , A 12.0 , C 10.0 , D 9.0。只能选择一个选项，禁止解释。"
4 / 1 等于多少?,10,3,6,4,4,D,"请选择一个选项4 / 1 等于多少?: A 10.0 , B 3.0 , C 6.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项4 / 1 等于多少?: B 3.0 , A 10.0 , C 6.0 , D 4.0。只能选择一个选项，禁止解释。"
42 / 7 等于多少?,6,10,7,4,6,A,"请选择一个选项42 / 7 等于多少?: A 6.0 , B 10.0 , C 7.0 , D 4.0。只能选择一个选项，禁止解释。","请选择一个选项42 / 7 等于多少?: B 10.0 , A 6.0 , C 7.0 , D 4.0。只能选择一个选项，禁止解释。"
30 / 6 等于多少?,5,2,7,10,5,A,"请选择一个选项30 / 6 等于多少?: A 5.0 , B 2.0 , C 7.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项30 / 6 等于多少?: B 2.0 , A 5.0 , C 7.0 , D 10.0。只能选择一个选项，禁止解释。"
6 * 6 等于多少?,36,40,34,37,36,A,"请选择一个选项6 * 6 等于多少?: A 36.0 , B 40.0 , C 34.0 , D 37.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 6 等于多少?: B 40.0 , A 36.0 , C 34.0 , D 37.0。只能选择一个选项，禁止解释。"
10 - 8 等于多少?,6,2,5,0,2,B,"请选择一个选项10 - 8 等于多少?: A 6.0 , B 2.0 , C 5.0 , D 0.0。只能选择一个选项，禁止解释。","请选择一个选项10 - 8 等于多少?: B 2.0 , A 6.0 , C 5.0 , D 0.0。只能选择一个选项，禁止解释。"
3 - 3 等于多少?,2,5,0,-3,0,C,"请选择一个选项3 - 3 等于多少?: A 2.0 , B 5.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 3 等于多少?: B 5.0 , A 2.0 , C 0.0 , D -3.0。只能选择一个选项，禁止解释。"
8 - 10 等于多少?,-1,-2,2,-3,-2,B,"请选择一个选项8 - 10 等于多少?: A -1.0 , B -2.0 , C 2.0 , D -3.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 10 等于多少?: B -2.0 , A -1.0 , C 2.0 , D -3.0。只能选择一个选项，禁止解释。"
8 - 1 等于多少?,12,7,8,6,7,B,"请选择一个选项8 - 1 等于多少?: A 12.0 , B 7.0 , C 8.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项8 - 1 等于多少?: B 7.0 , A 12.0 , C 8.0 , D 6.0。只能选择一个选项，禁止解释。"
9 - 9 等于多少?,-3,4,0,2,0,C,"请选择一个选项9 - 9 等于多少?: A -3.0 , B 4.0 , C 0.0 , D 2.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 9 等于多少?: B 4.0 , A -3.0 , C 0.0 , D 2.0。只能选择一个选项，禁止解释。"
8 + 3 等于多少?,8,11,14,17,11,B,"请选择一个选项8 + 3 等于多少?: A 8.0 , B 11.0 , C 14.0 , D 17.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 3 等于多少?: B 11.0 , A 8.0 , C 14.0 , D 17.0。只能选择一个选项，禁止解释。"
8 + 1 等于多少?,6,10,13,9,9,D,"请选择一个选项8 + 1 等于多少?: A 6.0 , B 10.0 , C 13.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项8 + 1 等于多少?: B 10.0 , A 6.0 , C 13.0 , D 9.0。只能选择一个选项，禁止解释。"
3 + 2 等于多少?,5,3,8,10,5,A,"请选择一个选项3 + 2 等于多少?: A 5.0 , B 3.0 , C 8.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项3 + 2 等于多少?: B 3.0 , A 5.0 , C 8.0 , D 10.0。只能选择一个选项，禁止解释。"
63 / 9 等于多少?,9,11,7,6,7,C,"请选择一个选项63 / 9 等于多少?: A 9.0 , B 11.0 , C 7.0 , D 6.0。只能选择一个选项，禁止解释。","请选择一个选项63 / 9 等于多少?: B 11.0 , A 9.0 , C 7.0 , D 6.0。只能选择一个选项，禁止解释。"
4 * 7 等于多少?,28,27,30,32,28,A,"请选择一个选项4 * 7 等于多少?: A 28.0 , B 27.0 , C 30.0 , D 32.0。只能选择一个选项，禁止解释。","请选择一个选项4 * 7 等于多少?: B 27.0 , A 28.0 , C 30.0 , D 32.0。只能选择一个选项，禁止解释。"
1 * 10 等于多少?,7,16,12,10,10,D,"请选择一个选项1 * 10 等于多少?: A 7.0 , B 16.0 , C 12.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 10 等于多少?: B 16.0 , A 7.0 , C 12.0 , D 10.0。只能选择一个选项，禁止解释。"
9 - 1 等于多少?,8,13,10,5,8,A,"请选择一个选项9 - 1 等于多少?: A 8.0 , B 13.0 , C 10.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 1 等于多少?: B 13.0 , A 8.0 , C 10.0 , D 5.0。只能选择一个选项，禁止解释。"
2 - 2 等于多少?,1,0,4,-2,0,B,"请选择一个选项2 - 2 等于多少?: A 1.0 , B 0.0 , C 4.0 , D -2.0。只能选择一个选项，禁止解释。","请选择一个选项2 - 2 等于多少?: B 0.0 , A 1.0 , C 4.0 , D -2.0。只能选择一个选项，禁止解释。"
3 * 5 等于多少?,17,15,13,21,15,B,"请选择一个选项3 * 5 等于多少?: A 17.0 , B 15.0 , C 13.0 , D 21.0。只能选择一个选项，禁止解释。","请选择一个选项3 * 5 等于多少?: B 15.0 , A 17.0 , C 13.0 , D 21.0。只能选择一个选项，禁止解释。"
10 * 1 等于多少?,10,15,12,8,10,A,"请选择一个选项10 * 1 等于多少?: A 10.0 , B 15.0 , C 12.0 , D 8.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 1 等于多少?: B 15.0 , A 10.0 , C 12.0 , D 8.0。只能选择一个选项，禁止解释。"
10 * 2 等于多少?,22,17,20,24,20,C,"请选择一个选项10 * 2 等于多少?: A 22.0 , B 17.0 , C 20.0 , D 24.0。只能选择一个选项，禁止解释。","请选择一个选项10 * 2 等于多少?: B 17.0 , A 22.0 , C 20.0 , D 24.0。只能选择一个选项，禁止解释。"
6 * 1 等于多少?,12,8,6,5,6,C,"请选择一个选项6 * 1 等于多少?: A 12.0 , B 8.0 , C 6.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项6 * 1 等于多少?: B 8.0 , A 12.0 , C 6.0 , D 5.0。只能选择一个选项，禁止解释。"
10 + 3 等于多少?,12,18,13,15,13,C,"请选择一个选项10 + 3 等于多少?: A 12.0 , B 18.0 , C 13.0 , D 15.0。只能选择一个选项，禁止解释。","请选择一个选项10 + 3 等于多少?: B 18.0 , A 12.0 , C 13.0 , D 15.0。只能选择一个选项，禁止解释。"
1 * 10 等于多少?,11,9,10,14,10,C,"请选择一个选项1 * 10 等于多少?: A 11.0 , B 9.0 , C 10.0 , D 14.0。只能选择一个选项，禁止解释。","请选择一个选项1 * 10 等于多少?: B 9.0 , A 11.0 , C 10.0 , D 14.0。只能选择一个选项，禁止解释。"
40 / 4 等于多少?,8,16,13,10,10,D,"请选择一个选项40 / 4 等于多少?: A 8.0 , B 16.0 , C 13.0 , D 10.0。只能选择一个选项，禁止解释。","请选择一个选项40 / 4 等于多少?: B 16.0 , A 8.0 , C 13.0 , D 10.0。只能选择一个选项，禁止解释。"
3 - 9 等于多少?,-2,-6,-3,-9,-6,B,"请选择一个选项3 - 9 等于多少?: A -2.0 , B -6.0 , C -3.0 , D -9.0。只能选择一个选项，禁止解释。","请选择一个选项3 - 9 等于多少?: B -6.0 , A -2.0 , C -3.0 , D -9.0。只能选择一个选项，禁止解释。"
35 / 5 等于多少?,10,13,4,7,7,D,"请选择一个选项35 / 5 等于多少?: A 10.0 , B 13.0 , C 4.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项35 / 5 等于多少?: B 13.0 , A 10.0 , C 4.0 , D 7.0。只能选择一个选项，禁止解释。"
7 * 7 等于多少?,50,49,48,53,49,B,"请选择一个选项7 * 7 等于多少?: A 50.0 , B 49.0 , C 48.0 , D 53.0。只能选择一个选项，禁止解释。","请选择一个选项7 * 7 等于多少?: B 49.0 , A 50.0 , C 48.0 , D 53.0。只能选择一个选项，禁止解释。"
9 + 2 等于多少?,8,13,17,11,11,D,"请选择一个选项9 + 2 等于多少?: A 8.0 , B 13.0 , C 17.0 , D 11.0。只能选择一个选项，禁止解释。","请选择一个选项9 + 2 等于多少?: B 13.0 , A 8.0 , C 17.0 , D 11.0。只能选择一个选项，禁止解释。"
5 - 1 等于多少?,2,7,4,9,4,C,"请选择一个选项5 - 1 等于多少?: A 2.0 , B 7.0 , C 4.0 , D 9.0。只能选择一个选项，禁止解释。","请选择一个选项5 - 1 等于多少?: B 7.0 , A 2.0 , C 4.0 , D 9.0。只能选择一个选项，禁止解释。"
9 - 8 等于多少?,0,4,1,7,1,C,"请选择一个选项9 - 8 等于多少?: A 0.0 , B 4.0 , C 1.0 , D 7.0。只能选择一个选项，禁止解释。","请选择一个选项9 - 8 等于多少?: B 4.0 , A 0.0 , C 1.0 , D 7.0。只能选择一个选项，禁止解释。"
72 / 9 等于多少?,8,11,12,5,8,A,"请选择一个选项72 / 9 等于多少?: A 8.0 , B 11.0 , C 12.0 , D 5.0。只能选择一个选项，禁止解释。","请选择一个选项72 / 9 等于多少?: B 11.0 , A 8.0 , C 12.0 , D 5.0。只能选择一个选项，禁止解释。"
2 - 2 等于多少?,0,5,-2,3,0,A,"请选择一个选项2 - 2 等于多少?: A 0.0 , B 5.0 , C -2.0 , D 3.0。只能选择一个选项，禁止解释。","请选择一个选项2 - 2 等于多少?: B 5.0 , A 0.0 , C -2.0 , D 3.0。只能选择一个选项，禁止解释。"
